_embedded_show_schedule_time,_embedded_show_schedule_days
22:00,"['Monday', 'Tuesday', 'Wednesday', 'Thursday']"
,['Friday']
,['Thursday']
00:00,['Thursday']
,['Monday']
11:00,['Thursday']
,[]
,[]
,"['Thursday', 'Friday', 'Saturday']"
,"['Thursday', 'Friday', 'Saturday']"
,"['Thursday', 'Friday', 'Saturday']"
,"['Thursday', 'Friday', 'Saturday']"
,"['Thursday', 'Friday', 'Saturday']"
,"['Thursday', 'Friday', 'Saturday']"
,[]
,[]
20:00,"['Thursday', 'Friday', 'Saturday']"
20:00,"['Thursday', 'Friday', 'Saturday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
19:00,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
19:00,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
12:00,"['Thursday', 'Friday']"
10:00,"['Monday', 'Thursday']"
,['Monday']
,['Monday']
,['Thursday']
12:30,"['Wednesday', 'Thursday']"
12:30,"['Wednesday', 'Thursday']"
12:30,"['Wednesday', 'Thursday']"
12:30,"['Wednesday', 'Thursday']"
12:30,"['Wednesday', 'Thursday']"
12:30,"['Wednesday', 'Thursday']"
06:00,"['Monday', 'Thursday']"
20:20,['Thursday']
17:00,"['Monday', 'Thursday', 'Saturday']"
22:00,['Thursday']
,['Friday']
,['Friday']
,['Thursday']
,['Thursday']
,['Thursday']
18:00,['Friday']
,[]
19:00,['Thursday']
,['Friday']
19:00,"['Thursday', 'Friday']"
,"['Wednesday', 'Thursday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday']"
,['Thursday']
,['Thursday']
,[]
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Thursday']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Thursday']
,['Wednesday']
,[]
,['Thursday']
,[]
,[]
,[]
,['Thursday']
20:00,"['Wednesday', 'Thursday', 'Friday']"
20:00,"['Wednesday', 'Thursday', 'Friday']"
,['Thursday']
,"['Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,"['Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,"['Thursday', 'Friday', 'Saturday']"
,"['Thursday', 'Friday', 'Saturday']"
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
23:00,['Thursday']
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Sunday']"
,"['Monday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,"['Monday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,[]
,['Thursday']
,[]
21:00,"['Wednesday', 'Thursday', 'Friday']"
,['Thursday']
,['Thursday']
,['Thursday']
,['Thursday']
,['Thursday']
,['Thursday']
,['Thursday']
,['Thursday']
19:25,['Thursday']
20:00,"['Monday', 'Tuesday', 'Wednesday', 'Thursday']"
15:00,['Thursday']
21:00,[]
21:00,[]
21:00,[]
21:00,[]
21:00,[]
21:00,[]
